name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Alonzo Campbell,45,,12.2,1.5,3.5,.427,0.5,0.8,.595,2.2,0.3,,,0.7,1.4,3.5,
Altonio Campbell,91,0,4.7,0.4,1.2,.374,,,.386,,,.600,0.6,1.0,.600,,
Andy Campbell,34,0,2.0,0.3,0.6,.409,,,,,,,0.1,0.3,.400,0.4,0.0
Anthony Campbell,114,77,27.6,4.0,8.7,.459,2.4,4.3,.565,1.6,4.4,.357,2.4,3.0,.795,0.9,3.2
Antonio Campbell,114,82,21.0,4.4,8.1,.536,3.5,5.8,.613,0.8,2.4,.349,1.5,2.2,.661,1.6,5.4
Bam Campbell,60,38,23.4,2.7,4.9,.556,2.7,4.8,.562,0.0,0.1,.000,2.3,3.4,.676,2.5,2.7
Bernard Campbell,74,,,6.9,14.2,.485,,,,,,,3.3,5.0,.673,7.9,2.1
Bernard Campbell,55,41,28.9,6.0,12.6,.476,,,,,,,1.5,2.1,.696,3.5,3.0
Billy Campbell,49,2,5.4,0.4,1.1,.400,0.2,0.6,.444,0.2,0.6,.357,0.2,0.3,.533,0.1,0.6
Blannon Campbell,21,,,1.5,4.3,.344,1.0,2.9,.367,0.4,1.4,.300,0.4,0.9,.500,,
Blannon Campbell,48,46,30.9,3.2,7.7,.415,2.6,5.8,.457,0.6,1.9,.290,1.4,2.2,.623,1.1,3.4
Bob Campbell,52,8,14.3,2.0,3.6,.543,2.0,3.6,.545,0.0,0.0,.000,0.8,1.6,.512,,
Bob Campbell,22,,,1.3,3.4,.387,1.0,1.6,.600,1.5,,,,,1.1,3.6,
Bob Whitey Campbell,49,,,5.4,20.7,.260,1.2,2.1,.577,,,,,,1.6,11.9,
Bobo Campbell,11,,4.9,0.1,0.6,.143,0.2,0.4,.500,0.4,0.2,0.1,0.0,0.5,1.2,0.4,
Brandon Campbell,84,58,25.4,3.0,6.4,.469,2.3,4.7,.499,0.7,1.7,.386,1.6,2.3,.673,,
Brent Campbell,48,3,10.2,1.1,4.1,.276,0.4,1.2,.321,0.8,3.0,.259,0.3,0.5,.609,0.4,0.4
Brian Campbell,10,1,1.7,0.0,0.5,.000,0.0,0.1,.000,0.0,0.4,.000,0.1,0.2,.500,,
Brian Campbell,25,0,4.6,0.6,1.2,.467,0.6,1.2,.467,0.0,0.0,,0.3,0.6,.500,,
Brock Campbell,5,0,2.2,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,,0.4,0.4,1.000,0.4,0.4
Bruce Campbell,122,,30.9,6.0,12.1,.492,2.9,3.9,.747,7.8,1.9,,,,2.6,14.8,
Bruce Campbell,17,,,0.5,1.8,.258,0.4,0.6,.636,1.2,,,,,0.8,1.4,
Bryan Campbell,8,0,3.8,0.0,0.9,.000,0.0,0.8,.000,0.0,0.1,.000,0.0,0.0,,,
