name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Mussa Bailey,11,,,0.5,1.3,.429,0.5,0.5,.833,0.1,0.7,.125,0.3,0.5,.500,,
Nate Bailey,73,13,10.9,0.9,2.6,.344,,,.293,,,.000,0.9,1.3,.681,,
Nathaniel Bailey,29,29,,3.0,7.0,.433,2.1,4.3,.492,0.9,2.7,.338,2.2,3.1,.722,,
Norman Bailey,68,41,25.8,3.3,6.6,.503,,,,,,,1.5,2.1,.713,3.5,2.0
Ollie Bailey,89,47,17.9,2.2,4.8,.466,2.2,4.7,.467,0.0,0.0,.000,1.6,2.4,.678,1.2,2.2
Phil Bailey,72,,,3.8,7.7,.494,0.6,0.8,.714,1.1,0.7,,,,1.0,8.2,
Quintin Bailey,50,0,13.2,1.8,3.7,.481,1.4,2.4,.592,0.4,1.3,.277,0.8,1.0,.796,,
Rashad Bailey,2,0,3.5,1.5,2.5,.600,0.5,0.5,1.000,1.0,2.0,.500,0.0,0.0,,0.0,0.0
Raye Bailey,59,44,23.6,1.9,4.7,.404,1.1,2.8,.393,0.8,1.8,.422,2.2,2.8,.791,0.4,1.9
Reid Bailey,10,,,0.2,0.7,.286,0.1,0.2,.500,0.1,,,,,0.6,0.5,
Rennie Bailey,112,52,32.7,3.4,7.2,.470,,,,,,,2.0,2.8,.711,3.5,2.4
Rex Bailey,54,,,2.7,6.9,.388,1.1,1.8,.600,2.1,3.3,,,,2.1,6.4,
Richard Bailey,41,3,6.1,0.7,2.2,.304,0.6,1.6,.343,0.1,0.6,.200,0.8,1.0,.850,,
Robert Bailey,107,55,27.5,4.8,11.1,.428,3.6,7.6,.473,1.2,3.6,.335,2.7,3.7,.730,,
Rodney Bailey,63,,,0.7,1.8,.387,,,,,,,0.6,1.0,.617,1.3,0.9
Ron Bailey,57,,20.6,3.7,7.5,.494,3.6,6.8,.521,0.1,0.6,.216,1.6,2.3,.729,,
Roni Bailey,85,44,28.8,4.8,10.3,.466,4.1,8.3,.498,0.6,2.0,.329,1.7,2.5,.703,,
Rontrell Bailey,28,18,18.0,1.0,2.3,.444,0.8,1.6,.511,0.2,0.6,.278,0.9,1.4,.641,1.0,1.5
Russ Bailey,17,,,1.1,,,0.5,0.9,.533,,,,,,1.4,2.7,
Ryan Bailey,93,14,14.7,1.1,2.7,.406,0.9,1.9,.449,0.2,0.8,.301,0.7,1.2,.605,,
Ryan Bailey,4,0,2.8,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,,0.5,0.5
Scott Bailey,106,16,15.4,3.8,7.1,.541,3.8,6.9,.543,0.1,0.1,.462,3.6,4.9,.730,,
Sheldon Bailey,78,21,12.6,1.3,2.7,.481,1.3,2.7,.481,0.0,0.0,,0.6,1.7,.364,0.9,1.4
Shellie Bailey,62,,,1.8,4.3,.405,1.0,1.6,.653,1.9,,,,,2.8,4.5,
Stacy Bailey,56,,,3.0,7.5,.400,1.2,2.7,.430,1.9,4.8,.384,1.1,1.4,.765,,
Sterling Bailey,33,0,8.0,0.7,1.7,.400,0.2,0.5,.500,0.4,1.2,.359,0.2,0.5,.467,0.2,0.6
Tauron Bailey,29,4,8.8,0.8,1.7,.490,0.8,1.7,.490,0.0,0.0,,0.6,1.2,.457,0.9,1.2
Terrance Bailey,110,53,34.8,9.0,18.2,.492,,,.499,,,.372,5.3,6.9,.761,,
Terry Bailey,52,,30.0,7.0,12.0,.581,3.4,4.8,.710,7.5,0.8,,,,2.7,17.4,
Thomas Bailey,82,19,23.8,4.1,8.5,.480,3.3,6.4,.511,0.8,2.1,.384,1.5,1.8,.842,1.4,2.8
Thurl Bailey,123,,31.0,5.0,9.7,.513,,,.496,,,.667,2.1,2.9,.745,6.2,0.8
Toby Bailey Jr,129,108,32.7,5.3,11.5,.459,3.9,7.6,.519,1.3,3.9,.341,2.5,3.7,.667,,
Tony Bailey,24,7,13.9,1.8,4.0,.433,1.3,2.6,.492,0.5,1.4,.324,1.7,2.1,.784,,
Tovi Bailey,55,36,23.9,2.3,5.9,.399,1.9,4.2,.442,0.5,1.7,.293,1.2,2.0,.606,0.7,2.0
Travis Bailey,73,69,29.3,5.1,11.8,.429,3.2,6.6,.495,1.8,5.2,.346,2.2,2.6,.829,0.6,2.0
Victor Bailey Jr.,113,24,19.1,2.6,6.4,.402,1.4,3.0,.464,1.2,3.5,.349,1.3,1.5,.863,0.5,1.3
Wayne Bailey,57,,,1.7,3.8,.438,0.9,1.1,.815,2.5,,,,,1.3,4.3,
Will Bailey,23,0,6.0,0.7,1.6,.459,0.7,1.4,.500,0.0,0.2,.200,0.7,1.1,.615,0.7,0.6
Will Bailey,62,23,17.8,0.8,2.1,.361,0.7,1.5,.436,0.1,0.6,.179,1.0,1.3,.744,,
Zach Bailey,122,31,21.4,1.9,4.8,.402,1.3,3.0,.442,0.6,1.8,.336,1.8,2.2,.821,0.6,1.6
_ Bailey,4,0,,0.0,0.5,.000,0.0,0.3,.000,0.3,0.0,,,,1.0,0.0,
_ Bailey,19,,,1.8,7.5,.239,1.4,2.5,.563,,,,,,2.2,5.0,
_ Bailey,47,,,2.6,9.9,.259,1.4,2.4,.583,3.1,0.6,,,,2.7,6.5,
_ Bailey,19,,,0.8,,,0.4,,,,,,,,,2.1,
Ron Baillargeon,26,,,1.5,3.4,.432,,,,,,,0.7,1.2,.531,3.0,
Anthony Bailous,62,17,21.3,3.4,7.0,.478,,,.479,,,.389,1.8,2.4,.745,,
Derrick Bails,110,13,11.0,1.6,3.6,.434,1.6,3.6,.437,0.0,0.0,.000,0.8,1.5,.555,0.9,2.2
Ryan Baily,27,24,33.6,3.2,7.8,.408,2.8,6.4,.437,0.4,1.4,.270,1.7,3.0,.575,,
Arron Bain,119,22,22.3,2.9,6.4,.454,2.4,4.9,.490,0.5,1.5,.337,1.6,2.1,.745,,
Charles Bain,118,81,21.3,2.7,7.0,.386,1.7,3.8,.459,1.0,3.2,.301,1.0,1.5,.650,1.5,2.3
Derek Bain,28,0,7.2,0.4,1.1,.387,0.4,1.0,.429,0.0,0.1,.000,0.5,1.0,.483,,
Gjio Bain,59,37,18.9,1.5,2.3,.638,1.5,2.3,.638,0.0,0.0,,0.5,1.3,.377,1.6,3.3
Jean Bain,103,68,27.8,3.2,8.5,.377,1.9,4.8,.404,1.3,3.7,.343,1.7,2.3,.766,0.4,1.2
Nathan Bain,109,55,15.8,1.5,3.1,.488,1.3,2.4,.533,0.2,0.7,.342,0.9,1.3,.667,1.0,1.7
Paul Bain,81,27,17.4,1.7,3.0,.566,,,,,,,0.8,1.0,.844,1.0,1.7
Tyron Bain,26,2,8.7,0.7,2.0,.327,0.6,1.6,.390,0.0,0.4,.091,0.9,1.3,.706,0.4,0.7
Evan Bainbridge,33,4,6.8,0.4,1.8,.237,0.3,0.6,.526,0.1,1.2,.100,0.3,0.4,.833,0.5,0.8
_ Baine,3,,,1.0,3.0,.333,0.3,1.0,.333,1.7,,,,,0.7,2.3,
Frank Baines,51,,23.4,2.6,6.5,.404,,,,,,,1.3,1.8,.717,1.9,1.5
Tirrell Baines,124,91,24.2,3.8,7.2,.527,3.8,7.1,.530,0.0,0.1,.143,2.4,3.5,.697,2.5,2.8
Pasha Bains,54,15,13.4,1.8,4.4,.404,0.9,1.9,.490,0.8,2.4,.336,0.6,0.9,.653,,
Sukhjot Bains,33,3,15.7,1.2,2.7,.432,0.9,1.8,.525,0.2,0.9,.241,0.5,1.0,.455,0.9,1.8
Bob Bair,31,,,1.5,4.0,.387,0.6,1.5,.417,3.7,,,,,1.5,3.7,
Brent Bair,40,15,8.8,0.4,1.3,.340,0.4,1.3,.340,0.0,0.0,,0.4,0.5,.762,,
Joe Bair,11,0,1.5,0.1,0.2,.500,0.1,0.2,.500,0.0,0.0,,0.2,0.2,1.000,,
Matt Bair,72,0,6.1,0.2,0.7,.340,,,.318,,,.200,0.6,0.8,.741,,
Quincy Bair,4,0,2.5,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0
Alex Baird,14,0,3.7,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.3,0.5,.571,0.1,0.5
Bill Baird,74,,,6.8,5.4,1.265,4.4,7.3,.607,5.3,,,,,2.6,18.1,
Bruce Baird,7,,4.3,0.7,2.0,.357,0.7,1.6,.455,0.7,0.6,0.4,0.0,1.0,2.0,2.1,
C.J. Baird,29,0,2.4,0.3,0.8,.348,0.1,0.3,.375,0.2,0.5,.333,0.1,0.1,.750,0.0,0.1
Gaylon Baird,37,,,1.7,3.7,.456,2.2,3.3,.669,2.6,0.2,,,,1.1,5.5,
Jordan Baird,4,0,1.3,0.3,0.8,.333,0.3,0.8,.333,0.0,0.0,,0.0,0.0,,0.0,0.3
Lanny Baird,37,,,2.5,2.8,.883,1.2,0.8,1.571,3.5,,,,,0.7,6.1,
Martin Baird,18,0,4.1,0.4,0.9,.412,0.4,0.9,.412,0.0,0.0,,0.3,0.4,.750,,
Ralph Baird,34,,,2.2,5.8,.376,1.4,1.8,.774,2.6,,,,,0.9,5.8,
Stephen Baird,16,3,8.0,0.9,2.1,.455,0.7,1.4,.500,0.3,0.7,.364,0.4,0.9,.429,0.4,0.7
Steve Baird,3,,,0.7,0.7,1.000,0.7,1.0,.667,1.0,,,,,0.7,2.0,
Tom Baird,50,,,1.8,3.9,.467,2.0,3.4,.592,4.8,1.4,,,,2.0,5.7,
Tom Baird,24,,,3.2,7.5,.420,1.6,3.3,.481,6.7,,,,,2.8,7.9,
Walter Baird,21,,,2.8,8.9,.312,1.0,2.1,.500,3.8,5.4,,,,2.4,6.6,
