name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Timothy Zephyr,79,44,14.4,1.2,3.1,.403,1.2,2.7,.433,0.1,0.4,.179,0.3,0.5,.632,0.8,1.3
Bill Zepplin,24,,,1.0,2.3,.436,0.2,0.4,.556,2.5,1.5,,,0.7,1.4,2.2,
Neven Zeravica,16,0,3.4,0.6,0.8,.833,0.6,0.8,.833,0.0,0.0,,0.1,0.2,.667,0.3,0.6
Chris Zerbe,36,1,2.1,0.5,1.0,.543,0.5,0.9,.545,0.0,0.1,.500,0.3,0.6,.571,0.2,0.5
Paul Zeringue,2,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Jeff Zern,99,,10.5,0.8,1.8,.450,,,,,,,0.6,0.9,.636,1.4,0.3
Michael Zernich,71,,,3.9,7.2,.550,4.0,3.7,1.080,7.2,2.9,,,,2.6,11.9,
Bill Zersen,10,,,0.7,2.3,.304,0.5,0.9,.556,2.0,,,,,1.0,1.9,
_ Zerwas,17,9,20.9,0.6,1.5,.400,0.4,0.6,.700,0.9,1.8,0.3,0.0,1.1,1.2,1.6,
Peter Zestermann,15,0,1.5,0.1,0.7,.200,0.1,0.7,.200,0.0,0.0,,0.1,0.3,.250,0.4,0.3
_ Zetz,,,,,,,,,,,,,,,,,
Al Zetzsche,73,,,4.8,10.6,.455,3.9,4.9,.788,6.0,,,,,2.7,13.5,
Phil Zevenbergen,66,39,24.6,3.8,7.6,.501,,,.516,,,.000,2.5,3.5,.721,,
Thomas Zevgaras,21,0,5.8,0.8,1.2,.640,0.8,1.2,.640,0.0,0.0,,0.5,1.0,.500,0.3,0.9
Kevin Zhang,60,35,20.8,2.1,5.6,.377,1.3,3.0,.436,0.8,2.6,.308,0.7,1.0,.733,0.6,1.7
Max Zhang,42,5,8.4,0.9,1.4,.644,0.9,1.4,.644,0.0,0.0,,0.7,1.3,.500,0.8,1.0
