name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Dale Hackbart,10,,,1.5,5.1,.294,1.0,2.3,.435,3.5,,,,,1.8,4.0,
Kris Hackbusch,22,0,1.6,0.3,1.3,.207,0.2,0.8,.278,0.0,0.5,.091,0.0,0.2,.250,,
Albert Hacker,27,26,23.9,3.9,7.4,.530,3.9,7.4,.530,0.0,0.0,,1.7,2.7,.630,1.2,4.0
Jerry Hacker,56,,,1.2,2.0,.591,2.6,2.6,.986,3.2,,,,,1.1,4.9,
Brent Hackett,122,88,24.4,2.9,8.1,.360,1.4,3.4,.401,1.6,4.7,.331,1.6,2.3,.703,0.3,1.5
Daniel Hackett,101,77,29.8,2.6,5.9,.435,1.8,3.9,.472,0.7,2.0,.366,2.8,3.6,.775,0.4,3.2
Drew Hackett,21,3,8.8,0.4,1.7,.222,0.2,0.7,.357,0.1,1.0,.136,0.5,0.7,.667,0.2,0.6
Dwayne Hackett,59,0,9.0,2.3,6.1,.372,0.3,0.9,.357,1.9,5.2,.375,0.9,1.2,.732,,
Lewis Hackett,4,0,1.8,0.0,0.8,.000,,,,,,,0.0,0.0,,0.0,0.0
Mark Hackett,50,,17.9,2.7,6.7,.405,0.9,1.2,.770,2.4,1.4,,,1.4,1.3,6.3,
Mike Hackett,101,49,31.9,5.9,10.8,.549,,,,,,,3.0,5.1,.603,8.5,1.2
Mike Hackett,27,,,2.3,5.4,.422,,1.6,,8.2,,,,,3.3,,
Richard Hackett,40,,,2.5,6.1,.400,1.7,2.2,.779,3.0,,,,,2.6,6.6,
Rudy Hackett,87,,,6.8,12.4,.551,3.5,5.4,.654,11.4,2.5,,,,2.8,17.2,
_ Hackett,1,0,3.0,0.0,1.0,.000,,,,,,,3.0,3.0,1.000,0.0,0.0
Landon Hackim,119,88,32.8,4.2,9.8,.424,1.8,4.2,.431,2.3,5.6,.419,1.9,2.4,.794,,
Jack Hackman,4,0,2.8,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,0.0,0.0,,0.3,0.0
Jim Hackmann,66,26,26.8,2.9,5.8,.499,0.7,1.1,.606,1.9,2.2,,,,1.8,6.4,
Tyler Hackstadt,49,19,24.3,2.3,6.4,.356,1.0,2.3,.426,1.3,4.0,.315,1.2,1.9,.659,0.5,1.4
Donny Hackworth,32,1,3.1,0.4,1.4,.289,0.3,0.8,.320,0.2,0.6,.250,0.2,0.3,.545,,
Thad Hackworth,55,39,22.7,2.1,6.5,.320,1.7,4.8,.351,0.4,1.8,.237,1.6,2.3,.695,0.8,2.1
Tati Hadavi,79,4,8.6,0.8,1.5,.508,0.8,1.5,.512,0.0,0.0,.000,0.2,0.4,.600,,
Dennis Haddan,20,,,1.0,3.3,.303,0.4,0.9,.471,1.6,0.9,,,,0.8,2.4,
Mark Haddan,74,,,2.7,5.4,.504,0.9,1.2,.773,2.8,2.6,,,1.5,1.4,6.4,
Patrick Haddan,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Brady Hadden,6,0,2.5,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,0.0,0.0,,0.0,0.2
Mark Hadden,16,0,11.6,2.1,5.1,.407,1.9,4.2,.463,0.1,0.9,.143,1.3,2.2,.600,,
Monroe Hadden,24,,,1.0,4.0,.240,1.3,1.8,.698,1.4,,,,,0.9,3.2,
Tyler Hadden,109,17,6.2,0.9,1.9,.481,0.7,1.2,.600,0.2,0.7,.260,0.5,0.7,.658,0.3,0.9
Darius Haddix,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,0.0,0.0,,0.0,0.3
Michael Haddix,105,98,28.6,5.8,11.5,.510,5.8,11.4,.511,0.0,0.0,.000,3.5,5.3,.654,3.2,4.5
Rodney Haddix,69,16,13.5,1.2,3.2,.376,0.7,1.6,.449,0.5,1.6,.306,0.8,1.0,.750,0.4,1.1
Bill Haddock,,,,,,,,,.800,,,,,,,,
