name,draft
Jeff Lamp,1
Darnell Valentine,1
Kevin Loder,1
Ray Tolbert,1
Mike McGee,1
Larry Nance,1
Alton Lister,1
Franklin Edwards,1
Charles Bradley,1
Joe Barry Carroll,1
Darrell Griffith,1
Kevin McHale,1
Kelvin Ransey,1
Jamesearl Ray,1
Mike O'Koren,1
Mike Gminski,1
Andrew Toney,1
Michael Brooks,1
Ronnie Lester,1
Kiki Vandeweghe,1
Mike Woodson,1
Rickey Brown,1
Wes Matthews,1
Reggie Johnson,1
Charles Whitney,1
Larry Drew,1
Don Collins,1
John Duren,1
Bill Hanzlik,1
Monti Davis,1
Chad Kinch,1
Carl Nicks,1
Magic Johnson,1
David Greenwood,1
Bill Cartwright,1
Greg Kelser,1
Sidney Moncrief,1
James Bailey,1
Vinnie Johnson,1
Calvin Natt,1
Larry Demic,1
Roylee Hamilton,1
Cliff T. Robinson,1
Jim Paxson,1
Dudley Bradley,1
Brad Holland,1
Phil Hubbard,1
Jim Spanarkel,1
Lee Johnson,1
Reggie King,1
Wiley Peck,1
Larry Knight,1
Sly Williams,1
Kyle Macy,1
Mychal Thompson,1
Phil Ford,1
Rick Robey,1
Micheal Ray Richardson,1
Purvis Short,1
Larry Bird,1
Ron Brewer,1
Freeman Williams,1
Reggie Theus,1
Butch Lee,1
James Hardy,1
George Johnson,1
Winford Boynes,1
Roger Phegley,1
Mike Mitchell,1
Jack Givens,1
Rod Griffin,1
Dave Corzine,1
Marty Byrnes,1
Frankie Sanders,1
Mike Evans,1
Raymond Townsend,1
Kent Benson,1
Otis Birdsong,1
Marques Johnson,1
Greg Ballard,1
Walter Davis,1
Kenny Carr,1
Bernard King,1
Jack Sikma,1
Tom LaGarde,1
Ray Williams,1
Ernie Grunfeld,1
Cedric Maxwell,1
Tate Armstrong,1
Tree Rollins,1
Brad Davis,1
Rickey Green,1
Bo Ellis,1
Wesley Cox,1
Rich Laurel,1
Glenn Mosley,1
Anthony Roberts,1
Norm Nixon,1
John Lucas,1
Scott May,1
Richard Washington,1
Leon Douglas,1
Wally Walker,1
Adrian Dantley,1
Quinn Buckner,1
Robert Parish,1
Armond Hill,1
Ron Lee,1
Bob Wilkerson,1
Terry Furlow,1
Mitch Kupchak,1
Larry Wright,1
Chuckie Williams,1
