name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Jim MacKinnon,69,,,2.7,8.8,.308,0.9,1.4,.653,3.0,,,,,1.7,6.3,
_ MacKinnon,25,,,2.6,11.5,.223,1.6,2.4,.672,,,,,,2.3,6.8,
Jesse Mackinson,118,80,24.0,3.3,7.0,.477,3.3,6.9,.482,0.0,0.1,.091,1.9,2.5,.762,1.6,3.2
Bob Mackish,1,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,
Daijon Macklien,23,0,12.2,0.8,1.8,.439,0.6,1.2,.464,0.2,0.6,.385,0.3,0.4,.667,0.1,0.8
Brandon Macklin,39,26,17.9,1.6,3.6,.433,1.5,3.6,.432,0.0,0.1,.500,0.8,1.5,.526,1.4,1.9
Dan Macklin,28,,,2.2,8.4,.264,0.5,1.4,.333,,,,,,0.7,5.0,
Danyell Macklin,39,0,14.0,2.0,5.1,.397,1.7,3.8,.453,0.3,1.3,.235,0.8,1.4,.589,,
David Macklin,15,0,6.0,0.2,1.1,.176,0.2,0.7,.300,0.0,0.5,.000,0.5,0.7,.636,,
Gerry Macklin,11,,,0.7,0.7,1.000,0.2,0.5,.400,0.5,,,,,0.5,1.6,
Joe Macklin,27,21,27.4,1.3,3.7,.347,1.0,2.7,.378,0.3,1.0,.259,1.1,1.7,.674,0.9,2.4
Joseph Macklin,5,0,2.4,0.2,0.4,.500,0.2,0.2,1.000,0.0,0.2,.000,0.2,0.4,.500,,
Ken Macklin,33,,,3.6,8.0,.451,1.7,2.0,.846,2.1,0.8,,,,2.4,8.9,
Oliver Macklin,55,0,1.7,0.3,0.7,.350,0.2,0.6,.364,0.0,0.1,.286,0.2,0.3,.563,,
Rudy Macklin,123,62,32.2,6.9,11.6,.595,,,,,,,3.0,4.5,.674,10.4,
Vernon Macklin,136,69,18.4,3.2,5.3,.610,3.2,5.3,.611,0.0,0.0,.000,0.8,1.9,.455,1.6,2.1
Zedric Macklin,57,55,32.3,4.6,9.9,.465,,,,,,,2.8,3.6,.777,3.2,2.7
_ Macklin,28,,,6.1,1.0,5.897,3.0,0.1,27.667,,,,,,0.1,15.2,
Mike Macknin,28,4,6.5,0.6,1.3,.432,0.4,0.5,.667,1.6,,,,,0.8,1.5,
Johnny Macknowski,22,,,4.3,,,2.5,3.7,.667,,,,,,2.1,11.0,
